sentence_id,words,labels,pos_tag
0,Multimodal,O,NNP
0,Differential,O,NNP
0,Network,O,NNP
0,for,O,IN
0,Visual,B,NNP
0,Question,I,NNP
0,Generation,I,NNP
1,Generating,B,VBG
1,natural,I,JJ
1,questions,I,NNS
1,from,I,IN
1,an,I,DT
1,image,I,NN
1,is,O,VBZ
1,a,O,DT
1,semantic,O,JJ
1,task,O,NN
1,that,O,WDT
1,requires,O,VBZ
1,using,O,VBG
1,visual,O,JJ
1,and,O,CC
1,language,O,NN
1,modality,O,NN
1,to,O,TO
1,learn,O,VB
1,multimodal,O,JJ
1,representations,O,NNS
1,.,O,.
2,Here,O,RB
2,the,O,DT
2,au-thors,O,NNS
2,have,O,VBP
2,proposed,O,VBN
2,the,O,DT
2,challenging,O,VBG
2,task,O,NN
2,of,O,IN
2,generating,B,VBG
2,natural,I,JJ
2,questions,I,NNS
2,for,I,IN
2,an,I,DT
2,image,I,NN
2,.,O,.
3,To,O,TO
3,solve,O,VB
3,this,O,DT
3,problem,O,NN
3,",",O,","
3,we,O,PRP
3,use,B,VBP
3,the,O,DT
3,context,B,NN
3,obtained,O,VBN
3,by,B,IN
3,considering,I,VBG
3,exemplars,B,NNS
3,",",O,","
3,specifically,O,RB
3,we,O,PRP
3,use,O,VBP
3,the,O,DT
3,difference,B,NN
3,between,B,IN
3,relevant,B,JJ
3,and,I,CC
3,irrelevant,I,JJ
3,exemplars,I,NNS
3,.,O,.
4,We,O,PRP
4,consider,B,VBP
4,different,B,JJ
4,contexts,I,NN
4,in,B,IN
4,the,I,DT
4,form,I,NN
4,of,I,IN
4,Location,B,NNP
4,",",I,","
4,Caption,I,NNP
4,",",I,","
4,and,I,CC
4,Part,I,NNP
4,of,I,IN
4,Speech,I,NNP
4,tags,I,NNS
4,.,O,.
5,Our,O,PRP$
5,method,O,NN
5,implicitly,O,RB
5,uses,B,VBZ
5,a,O,DT
5,differential,B,JJ
5,context,I,NN
5,obtained,B,VBN
5,through,I,IN
5,supporting,B,VBG
5,and,I,CC
5,contrasting,I,VBG
5,exemplars,I,NNS
5,to,B,TO
5,obtain,I,VB
5,a,O,DT
5,differentiable,B,JJ
5,embedding,I,NN
5,.,O,.
6,This,O,DT
6,embedding,O,NN
6,is,O,VBZ
6,used,B,VBN
6,by,I,IN
6,a,O,DT
6,question,B,NN
6,decoder,I,NN
6,to,B,TO
6,decode,I,VB
6,the,O,DT
6,appropriate,B,JJ
6,question,I,NN
6,.,O,.
7,To,O,TO
7,summarize,O,VB
7,",",O,","
7,we,O,PRP
7,propose,B,VBP
7,a,O,DT
7,multimodal,B,JJ
7,differential,I,NN
7,network,I,NN
7,to,B,TO
7,solve,I,VB
7,the,O,DT
7,task,B,NN
7,of,B,IN
7,visual,B,JJ
7,question,I,NN
7,generation,I,NN
7,.,O,.
8,Neural,B,JJ
8,Question,I,NNP
8,Generation,I,NNP
8,from,I,IN
8,Text,I,NNP
8,:,O,:
8,A,O,DT
8,Preliminary,O,NNP
8,Study,O,NN
9,Automatic,B,JJ
9,question,I,NN
9,generation,I,NN
9,aims,O,VBZ
9,to,O,TO
9,generate,O,VB
9,questions,O,NNS
9,from,O,IN
9,a,O,DT
9,text,O,NN
9,passage,O,NN
9,where,O,WRB
9,the,O,DT
9,generated,O,JJ
9,questions,O,NNS
9,can,O,MD
9,be,O,VB
9,answered,O,VBN
9,by,O,IN
9,certain,O,JJ
9,sub-,O,JJ
9,spans,O,NNS
9,of,O,IN
9,the,O,DT
9,given,O,VBN
9,passage,O,NN
9,.,O,.
10,Automatic,B,JJ
10,question,I,NN
10,generation,I,NN
10,from,I,IN
10,natural,I,JJ
10,language,I,NN
10,text,I,NN
10,aims,O,VBZ
10,to,O,TO
10,generate,O,VB
10,questions,O,NNS
10,taking,O,VBG
10,text,O,NN
10,as,O,IN
10,input,O,NN
10,",",O,","
10,which,O,WDT
10,has,O,VBZ
10,the,O,DT
10,potential,O,JJ
10,value,O,NN
10,of,O,IN
10,education,O,NN
10,purpose,O,NN
10,),O,)
10,.,O,.
11,As,O,IN
11,the,O,DT
11,reverse,O,NN
11,task,O,NN
11,of,O,IN
11,question,O,NN
11,answering,O,NN
11,",",O,","
11,question,B,NN
11,generation,I,NN
11,also,O,RB
11,has,O,VBZ
11,the,O,DT
11,potential,O,NN
11,for,O,IN
11,providing,O,VBG
11,a,O,DT
11,large,O,JJ
11,scale,O,NN
11,corpus,O,NN
11,of,O,IN
11,question,O,NN
11,-,O,:
11,answer,O,NN
11,pairs,O,NNS
11,.,O,.
12,In,O,IN
12,this,O,DT
12,work,O,NN
12,we,O,PRP
12,conduct,O,VBP
12,a,O,DT
12,preliminary,O,JJ
12,study,O,NN
12,on,O,IN
12,question,O,NN
12,generation,O,NN
12,from,O,IN
12,text,O,NN
12,with,O,IN
12,neural,O,JJ
12,networks,O,NNS
12,",",O,","
12,which,O,WDT
12,is,O,VBZ
12,denoted,B,VBN
12,as,I,IN
12,the,O,DT
12,Neural,B,NNP
12,Question,I,NNP
12,Generation,I,NNP
12,(,I,(
12,NQG,I,NNP
12,),I,)
12,framework,I,NN
12,",",O,","
12,to,B,TO
12,generate,I,VB
12,natural,B,JJ
12,language,I,NN
12,questions,I,NNS
12,from,I,IN
12,text,I,NN
12,without,B,IN
12,pre-defined,B,JJ
12,rules,I,NNS
12,.,O,.
13,The,O,DT
13,Neural,B,NNP
13,Question,I,NNP
13,Generation,I,NNP
13,framework,I,NN
13,extends,B,VBZ
13,the,O,DT
13,sequence,B,NN
13,-,I,:
13,to,I,TO
13,-,I,:
13,sequence,I,NN
13,models,I,NNS
13,by,B,IN
13,enriching,I,VBG
13,the,O,DT
13,encoder,B,NN
13,with,B,IN
13,answer,B,NN
13,and,O,CC
13,lexical,B,JJ
13,features,I,NNS
13,to,B,TO
13,generate,I,VB
13,answer,B,NN
13,focused,I,JJ
13,questions,I,NNS
13,.,O,.
14,Concretely,O,RB
14,",",O,","
14,the,O,DT
14,encoder,B,NN
14,reads,B,VBZ
14,not,O,RB
14,only,O,RB
14,the,O,DT
14,input,B,NN
14,sentence,I,NN
14,",",O,","
14,but,O,CC
14,also,O,RB
14,the,O,DT
14,answer,B,JJR
14,position,I,NN
14,indicator,I,NN
14,and,O,CC
14,lexical,B,JJ
14,features,I,NNS
14,.,O,.
15,The,O,DT
15,answer,B,JJR
15,position,I,NN
15,feature,I,NN
15,denotes,B,VBZ
15,the,O,DT
15,answer,B,NN
15,span,I,NN
15,in,B,IN
15,the,O,DT
15,input,B,NN
15,sentence,I,NN
15,",",O,","
15,which,O,WDT
15,is,O,VBZ
15,essential,O,JJ
