sentence_id,words,labels,pos_tag
0,the,B,DT
0,number,I,NN
0,of,I,IN
0,comorbidities,I,NNS
0,",",O,","
0,the,B,DT
0,Rockall,I,NNP
0,scales,I,NNS
0,core,I,RB
0,",",O,","
0,an,B,DT
0,albumin,I,JJ
0,level,I,NN
0,<,I,VBD
0,2.6,I,CD
0,g,I,NN
0,/,I,NNP
0,dL,I,NN
0,",",O,","
0,the,B,DT
0,presence,I,NN
0,of,I,IN
0,rebleeding,I,VBG
0,and,O,CC
0,hospital,B,JJ
0,stay,I,NN
0,were,O,VBD
0,predictors,B,NNS
0,of,I,IN
0,in,B,IN
0,-,I,:
0,hospital,I,NN
0,mortality,I,NN
0,in,B,IN
0,patients,I,NNS
0,with,I,IN
0,NVUGB,I,NNP
0,.,O,.
1,The,B,DT
1,BDI,I,NNP
1,is,O,VBZ
1,a,O,DT
1,significant,B,JJ
1,predictor,B,NN
1,of,I,IN
1,long,B,JJ
1,-,I,:
1,term,I,NN
1,outcome,I,NN
1,among,B,IN
1,patients,I,NNS
1,admitted,I,VBN
1,to,I,TO
1,the,I,DT
1,Breast,I,NNP
1,Cancer,I,NNP
1,Diagnosis,I,NNP
1,Unit,I,NNP
1,in,B,IN
1,Finland,I,NNP
1,.,O,.
2,The,B,DT
2,application,I,NN
2,of,I,IN
2,1,I,CD
2,%,I,NN
2,MBD,I,NNP
2,as,I,IN
2,a,I,DT
2,single,I,JJ
2,technique,I,NN
2,in,I,IN
2,breast,I,NN
2,cancer,I,NN
2,SNB,I,NNP
2,has,B,VBZ
2,favorable,B,JJ
2,identification,I,NN
2,rates,I,NNS
2,and,I,CC
2,predictive,I,JJ
2,values,I,NNS
2,.,O,.
3,Risks,B,NNS
3,of,I,IN
3,CVD,I,NNP
3,events,I,NNS
3,and,O,CC
3,mortality,B,NN
3,increased,B,VBD
3,exponentially,B,RB
3,with,O,IN
3,eGFR,B,JJ
3,drop,I,NN
3,.,O,.
4,This,B,DT
4,study,I,NN
4,has,O,VBZ
4,found,B,VBN
4,that,O,IN
4,inappropriate,B,JJ
4,infant,I,NN
4,feeding,I,NN
4,;,O,:
4,nutritional,B,JJ
4,information,I,NN
4,gap,I,NN
4,and,O,CC
4,lack,B,NN
4,of,I,IN
4,toilet,I,NN
4,facility,I,NN
4,as,O,IN
4,significant,B,JJ
4,predictors,B,NNS
4,of,I,IN
4,malnutrition,B,NN
4,.,O,.
5,BMI,B,NNP
5,SDS,I,NNP
5,and,O,CC
5,WC,B,NNP
5,were,O,VBD
5,reduced,B,VBN
5,after,O,IN
5,1.5,B,CD
5,years,I,NNS
5,of,I,IN
5,treatment,I,NN
5,.,O,.
6,This,B,DT
6,study,I,NN
6,highlighted,B,VBD
6,the,O,DT
6,risk,B,NN
6,factors,I,NNS
6,of,I,IN
6,breast,I,NN
6,Ca,I,NNP
6,in,B,IN
6,women,I,NNS
6,living,I,VBG
6,in,I,IN
6,Bangui,I,NNP
6,to,O,TO
6,inform,B,VB
6,appropriate,B,JJ
6,control,I,NN
6,measures,I,NNS
6,.,O,.
7,Individual,B,JJ
7,symptom,I,NN
7,resolution,I,NN
7,rates,I,NNS
7,were,O,VBD
7,highly,B,RB
7,variable,B,JJ
7,.,O,.
8,Baseline,B,NNP
8,PaCO2,I,NNP
8,predicted,B,VBD
8,persistent,B,JJ
8,ventilatory,I,JJ
8,failure,I,NN
8,on,B,IN
8,treatment,I,NN
8,.,O,.
9,Epidemiological,B,JJ
9,trends,I,NNS
9,are,O,VBP
9,more,B,RBR
9,or,I,CC
9,less,I,RBR
9,common,B,JJ
9,to,I,TO
9,those,B,DT
9,of,I,IN
9,developing,I,VBG
9,countries,I,NNS
9,with,I,IN
9,a,I,DT
9,predominance,I,NN
9,of,I,IN
9,invasive,I,JJ
9,ductal,I,JJ
9,carcinoma,I,NN
9,.,O,.
10,Compared,O,VBN
10,to,O,TO
10,HbA1c,B,NNP
10,criteria,I,NNS
10,our,O,PRP$
10,diabetes,B,NNS
10,algorithm,I,RB
10,and,O,CC
10,diabetes,B,VBZ
10,predictor,I,NN
10,score,I,NN
10,had,O,VBD
10,a,O,DT
10,better,B,JJR
10,correlation,B,NN
10,with,I,IN
10,OGTT,I,NNP
10,criteria,I,NNS
10,.,O,.
11,Also,O,RB
11,",",O,","
11,the,O,DT
11,relationships,B,NNS
11,between,O,IN
11,these,B,DT
11,factors,I,NNS
