sentence_id,words,labels,pos_tag
0,These,B,DT
0,patients,I,NNS
0,are,O,VBP
0,more,B,RBR
0,likely,I,JJ
0,to,O,TO
0,test,B,VB
0,positive,I,JJ
0,for,I,IN
0,viral,I,JJ
0,RNA,I,NNP
0,in,I,IN
0,stool,I,NN
0,",",O,","
0,to,O,TO
0,have,B,VB
0,a,I,DT
0,longer,B,RBR
0,delay,I,NN
0,before,I,IN
0,viral,I,JJ
0,clearance,I,NN
0,",",O,","
0,and,O,CC
0,to,O,TO
0,experience,B,VB
0,delayed,I,JJ
0,diagnosis,I,NN
0,compared,O,VBN
0,with,O,IN
0,patients,B,NNS
0,with,I,IN
0,only,I,JJ
0,respiratory,I,NN
0,symptoms,I,NNS
0,.,O,.
1,Top,B,JJ
1,-,I,:
1,down,I,RP
1,cleaning,I,VBG
1,adequate,B,JJ
1,to,O,TO
1,reduce,B,VB
1,bioburden,B,NN
1,.,O,.
2,To,O,TO
2,reduce,B,VB
2,the,B,DT
2,use,I,NN
2,of,I,IN
2,surgical,I,JJ
2,masks,I,NNS
2,and,O,CC
2,to,O,TO
2,reduce,B,VB
2,potential,B,JJ
2,COVID-19,I,NNP
2,exposure,I,NN
2,",",O,","
2,use,B,VBP
2,relatively,I,RB
2,long,I,JJ
2,(,I,(
2,eg,I,NN
2,",",I,","
2,12hours,I,CD
2,),I,)
2,staff,I,NN
2,shifts,I,NNS
2,.,O,.
3,Children,B,NNP
3,under,I,IN
3,10,I,CD
3,years,I,NNS
3,of,I,IN
3,age,I,NN
3,were,O,VBD
3,less,B,RBR
3,likely,I,JJ
3,to,O,TO
3,receive,B,VB
3,a,I,DT
3,positive,I,JJ
3,result,I,NN
3,than,O,IN
3,were,O,VBD
3,persons,B,NNS
3,10,I,CD
3,years,I,NNS
3,of,I,IN
3,age,I,NN
3,or,I,CC
3,older,I,JJR
4,During,B,IN
4,a,I,DT
4,two,I,CD
4,week,I,NN
4,period,I,NN
4,in,I,IN
4,February,I,NNP
4,2020,I,CD
4,",",O,","
4,the,B,DT
4,emotional,I,JJ
4,state,I,NN
4,and,O,CC
4,behavior,B,NN
4,of,I,IN
4,participants,I,NNS
4,in,B,IN
4,Hubei,I,NNP
4,improved,B,VBD
4,",",O,","
4,but,O,CC
4,the,B,DT
4,quality,I,NN
4,of,I,IN
4,sleep,I,NN
4,did,O,VBD
4,not,O,RB
4,.,O,.
5,During,B,IN
5,a,I,DT
5,two,I,CD
5,-,I,:
5,week,I,NN
5,period,I,NN
5,",",O,","
5,front,B,JJ
5,-,I,:
5,line,I,NN
5,health,I,NN
5,workers,I,NNS
5,and,O,CC
5,people,B,NNS
5,in,I,IN
5,Hubei,I,NNP
5,Province,I,NNP
5,became,O,VBD
5,less,B,RBR
5,anxious,B,JJ
5,about,I,IN
5,the,I,DT
5,COVID-19,I,NNP
5,epidemic,I,NN
5,",",O,","
5,but,O,CC
5,sleep,B,JJ
5,quality,I,NN
5,did,O,VBD
5,not,B,RB
5,improve,B,VB
5,.,O,.
6,We,O,PRP
6,report,B,VBP
6,that,O,IN
6,the,B,DT
6,nano,I,JJ
6,-,I,:
6,dimension,I,NN
6,sign+,B,NN
6,with,I,IN
6,the,B,DT
6,film,I,NN
6,thickness,I,NN
6,",",O,","
6,ranging,O,VBG
6,from,O,IN
6,17–42,O,CD
6,nm,O,NNS
6,.,O,.
7,The,O,DT
7,question,B,NN
7,is,O,VBZ
7,if,O,IN
7,the,B,DT
7,nano,I,NN
7,-,I,:
7,dimension,I,NN
7,also,O,RB
7,sign+,B,VBZ
7,with,I,IN
7,columnar,B,JJ
7,crystal,I,JJ
7,size,I,NN
7,.,O,.
8,Our,B,PRP$
8,patient,I,NN
8,improved,B,VBN
8,significantly,B,RB
8,.,O,.
9,We,O,PRP
9,sought,O,VBD
9,to,O,TO
9,show,B,VB
9,how,O,WRB
9,these,B,DT
9,control,I,VB
9,measures,I,NNS
9,impacted,B,VBN
9,the,B,DT
9,containment,I,NN
9,of,I,IN
9,the,I,DT
9,epidemic,I,NN
9,.,O,.
10,This,B,DT
10,study,I,NN
10,aims,O,VBZ
10,to,O,TO
10,investigate,B,VB
10,whether,B,IN
10,MSC,B,NNP
10,transplantation,I,NN
10,improves,B,VBZ
10,the,B,DT
10,outcome,I,NN
10,of,I,IN
10,7,I,CD
10,enrolled,I,JJ
10,patients,I,NNS
10,with,I,IN
10,COVID-19,I,NNP
10,pneumonia,I,NN
10,in,B,IN
10,Beijing,I,NNP
10,YouAn,I,NNP
10,Hospital,I,NNP
10,",",I,","
10,China,I,NNP
10,",",O,","
10,from,B,IN
10,Jan,I,NNP
10,23,I,CD
10,",",I,","
10,2020,I,CD
10,to,I,TO
10,Feb,I,NNP
10,16,I,CD
10,",",I,","
10,2020,I,CD
10,.,O,.
11,MSCs,B,NNP
11,could,B,MD
11,cure,B,VB
11,or,O,CC
11,significantly,B,RB
11,improve,B,VB
11,the,B,DT
11,functional,I,JJ
11,outcomes,I,NNS
11,of,I,IN
11,seven,I,CD
11,patients,I,NNS
11,without,B,IN
11,observed,I,JJ
11,adverse,I,JJ
11,effects,I,NNS
11,.,O,.
12,In,O,IN
12,light,O,NN
12,of,O,IN
12,this,O,DT
12,",",O,","
12,a,O,DT
12,countermeasure,O,NN
12,that,O,WDT
12,has,O,VBZ
12,been,O,VBN
12,shown,B,VBN
12,to,O,TO
12,be,O,VB
