topic,paper_ID,sentence_ID,sentence,words,BIO,POS,length
machine-translation,8,2,Published as a conference paper at ICLR 2015 NEURAL MACHINE TRANSLATION BY JOINTLY LEARNING TO ALIGN AND TRANSLATE,"['Published', 'as', 'a', 'conference', 'paper', 'at', 'ICLR', '2015', 'NEURAL', 'MACHINE', 'TRANSLATION', 'BY', 'JOINTLY', 'LEARNING', 'TO', 'ALIGN', 'AND', 'TRANSLATE']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['VBN', 'IN', 'DT', 'NN', 'NN', 'IN', 'NNP', 'CD', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']",18
machine-translation,8,7,"In this paper , we conjecture that the use of a fixed - length vector is a bottleneck in improving the performance of this basic encoder - decoder architecture , and propose to extend this by allowing a model to automatically ( soft - ) search for parts of a source sentence that are relevant to predicting a target word , without having to form these parts as a hard segment explicitly .","['In', 'this', 'paper', ',', 'we', 'conjecture', 'that', 'the', 'use', 'of', 'a', 'fixed', '-', 'length', 'vector', 'is', 'a', 'bottleneck', 'in', 'improving', 'the', 'performance', 'of', 'this', 'basic', 'encoder', '-', 'decoder', 'architecture', ',', 'and', 'propose', 'to', 'extend', 'this', 'by', 'allowing', 'a', 'model', 'to', 'automatically', '(', 'soft', '-', ')', 'search', 'for', 'parts', 'of', 'a', 'source', 'sentence', 'that', 'are', 'relevant', 'to', 'predicting', 'a', 'target', 'word', ',', 'without', 'having', 'to', 'form', 'these', 'parts', 'as', 'a', 'hard', 'segment', 'explicitly', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['IN', 'DT', 'NN', ',', 'PRP', 'VBP', 'IN', 'DT', 'NN', 'IN', 'DT', 'JJ', ':', 'NN', 'NN', 'VBZ', 'DT', 'NN', 'IN', 'VBG', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', ':', 'NN', 'NN', ',', 'CC', 'VB', 'TO', 'VB', 'DT', 'IN', 'VBG', 'DT', 'NN', 'TO', 'RB', '(', 'JJ', ':', ')', 'NN', 'IN', 'NNS', 'IN', 'DT', 'NN', 'NN', 'WDT', 'VBP', 'JJ', 'TO', 'VBG', 'DT', 'NN', 'NN', ',', 'IN', 'VBG', 'TO', 'VB', 'DT', 'NNS', 'IN', 'DT', 'JJ', 'NN', 'RB', '.']",73
machine-translation,8,11,"Neural machine translation is a newly emerging approach to machine translation , recently proposed by , and .","['Neural', 'machine', 'translation', 'is', 'a', 'newly', 'emerging', 'approach', 'to', 'machine', 'translation', ',', 'recently', 'proposed', 'by', ',', 'and', '.']","['O', 'B-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['JJ', 'NN', 'NN', 'VBZ', 'DT', 'RB', 'VBG', 'NN', 'TO', 'NN', 'NN', ',', 'RB', 'VBN', 'IN', ',', 'CC', '.']",18
machine-translation,8,20,"In order to address this issue , we introduce an extension to the encoder - decoder model which learns to align and translate jointly .","['In', 'order', 'to', 'address', 'this', 'issue', ',', 'we', 'introduce', 'an', 'extension', 'to', 'the', 'encoder', '-', 'decoder', 'model', 'which', 'learns', 'to', 'align', 'and', 'translate', 'jointly', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'B-p', 'I-p', 'B-n', 'I-n', 'I-n', 'I-n', 'O']","['IN', 'NN', 'TO', 'VB', 'DT', 'NN', ',', 'PRP', 'VBP', 'DT', 'NN', 'TO', 'DT', 'NN', ':', 'NN', 'NN', 'WDT', 'VBZ', 'TO', 'VB', 'CC', 'VB', 'RB', '.']",25
machine-translation,8,21,"Each time the proposed model generates a word in a translation , it ( soft - ) searches for a set of positions in a source sentence where the most relevant information is concentrated .","['Each', 'time', 'the', 'proposed', 'model', 'generates', 'a', 'word', 'in', 'a', 'translation', ',', 'it', '(', 'soft', '-', ')', 'searches', 'for', 'a', 'set', 'of', 'positions', 'in', 'a', 'source', 'sentence', 'where', 'the', 'most', 'relevant', 'information', 'is', 'concentrated', '.']","['B-n', 'I-n', 'O', 'O', 'O', 'B-p', 'O', 'B-n', 'B-p', 'O', 'B-n', 'O', 'O', 'B-p', 'I-p', 'I-p', 'I-p', 'I-p', 'O', 'O', 'B-n', 'I-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O']","['DT', 'NN', 'DT', 'VBN', 'NN', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'NN', ',', 'PRP', '(', 'JJ', ':', ')', 'NNS', 'IN', 'DT', 'NN', 'IN', 'NNS', 'IN', 'DT', 'NN', 'NN', 'WRB', 'DT', 'RBS', 'JJ', 'NN', 'VBZ', 'VBN', '.']",35
machine-translation,8,22,The model then predicts a target word based on the context vectors associated with these source positions and all the previous generated target words .,"['The', 'model', 'then', 'predicts', 'a', 'target', 'word', 'based', 'on', 'the', 'context', 'vectors', 'associated', 'with', 'these', 'source', 'positions', 'and', 'all', 'the', 'previous', 'generated', 'target', 'words', '.']","['O', 'O', 'O', 'B-p', 'O', 'B-n', 'I-n', 'B-p', 'I-p', 'O', 'B-n', 'I-n', 'B-p', 'I-p', 'O', 'B-n', 'I-n', 'O', 'O', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'O']","['DT', 'NN', 'RB', 'VBZ', 'DT', 'NN', 'NN', 'VBN', 'IN', 'DT', 'NN', 'NNS', 'VBN', 'IN', 'DT', 'NN', 'NNS', 'CC', 'PDT', 'DT', 'JJ', 'VBD', 'NN', 'NNS', '.']",25
machine-translation,8,118,We train two types of models .,"['We', 'train', 'two', 'types', 'of', 'models', '.']","['O', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'O']","['PRP', 'VBP', 'CD', 'NNS', 'IN', 'NNS', '.']",7
machine-translation,8,119,"The first one is an RNN Encoder - Decoder ( RNNencdec , , and the other is the proposed model , to which we refer as RNNsearch .","['The', 'first', 'one', 'is', 'an', 'RNN', 'Encoder', '-', 'Decoder', '(', 'RNNencdec', ',', ',', 'and', 'the', 'other', 'is', 'the', 'proposed', 'model', ',', 'to', 'which', 'we', 'refer', 'as', 'RNNsearch', '.']","['O', 'B-p', 'I-p', 'O', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'B-p', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-n', 'O']","['DT', 'JJ', 'NN', 'VBZ', 'DT', 'NNP', 'NNP', ':', 'NN', '(', 'NNP', ',', ',', 'CC', 'DT', 'JJ', 'VBZ', 'DT', 'JJ', 'NN', ',', 'TO', 'WDT', 'PRP', 'VBP', 'IN', 'NNP', '.']",28
machine-translation,8,120,"We train each model twice : first with the sentences of length up to 30 words ( RNNencdec - 30 , RNNsearch - 30 ) and then with the sentences of length up to 50 word ( RNNencdec - 50 , RNNsearch - 50 ) .","['We', 'train', 'each', 'model', 'twice', ':', 'first', 'with', 'the', 'sentences', 'of', 'length', 'up', 'to', '30', 'words', '(', 'RNNencdec', '-', '30', ',', 'RNNsearch', '-', '30', ')', 'and', 'then', 'with', 'the', 'sentences', 'of', 'length', 'up', 'to', '50', 'word', '(', 'RNNencdec', '-', '50', ',', 'RNNsearch', '-', '50', ')', '.']","['O', 'O', 'B-n', 'I-n', 'I-n', 'O', 'O', 'B-p', 'O', 'B-n', 'B-p', 'I-p', 'B-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['PRP', 'VBP', 'DT', 'NN', 'RB', ':', 'JJ', 'IN', 'DT', 'NNS', 'IN', 'NN', 'IN', 'TO', 'CD', 'NNS', '(', 'NNP', ':', 'CD', ',', 'NNP', ':', 'CD', ')', 'CC', 'RB', 'IN', 'DT', 'NNS', 'IN', 'NN', 'IN', 'TO', 'CD', 'NN', '(', 'NNP', ':', 'CD', ',', 'NNP', ':', 'CD', ')', '.']",46
machine-translation,8,121,The encoder and decoder of the RNNencdec have 1000 hidden units each .,"['The', 'encoder', 'and', 'decoder', 'of', 'the', 'RNNencdec', 'have', '1000', 'hidden', 'units', 'each', '.']","['O', 'B-p', 'I-p', 'I-p', 'B-p', 'O', 'B-n', 'B-p', 'B-n', 'B-n', 'I-n', 'I-n', 'O']","['DT', 'NN', 'CC', 'NN', 'IN', 'DT', 'NNP', 'VBP', 'CD', 'JJ', 'NNS', 'DT', '.']",13
